150 0 0 0 0 0 0
150 0 0 0 0 0 0
150 0 0 0 0 0 0
150 0 0 0 0 0 0
132 18 0 0 0 0 0
84 46 20 0 0 0 0
108 13 29 0 0 0 0
107 24 19 0 0 0 0
121 4 25 0 0 0 0
125 7 18 0 0 0 0
126 4 20 0 0 0 0
125 7 18 0 0 0 0
124 4 22 0 0 0 0
114 16 20 0 0 0 0
99 16 35 0 0 0 0
121 11 18 0 0 0 0
133 10 6 0 0 0 0
119 21 10 0 0 0 0
106 26 19 0 0 0 0
52 21 76 0 0 0 0
27 19 105 0 0 0 0
96 16 37 0 0 0 0
59 15 76 0 0 0 0
78 16 56 0 0 0 0
95 15 40 0 0 0 0
98 14 39 0 0 0 0
97 13 40 0 0 0 0
52 59 40 0 0 0 0
40 63 47 0 0 0 0
70 17 46 16 0 0 0
26 59 50 15 0 0 0
44 23 70 13 0 0 0
58 17 64 11 0 0 0
25 55 57 12 0 0 0
58 57 25 10 0 0 0
54 59 35 3 0 0 0
46 81 23 0 0 0 0
32 98 19 0 0 0 0
54 76 20 0 0 0 0
104 34 12 0 0 0 0
22 49 78 0 0 0 0
78 25 48 0 0 0 0
98 21 31 0 0 0 0
112 6 32 0 0 0 0
105 36 9 0 0 0 0
68 37 44 0 0 0 0
91 34 25 0 0 0 0
85 37 28 0 0 0 0
26 31 93 0 0 0 0
14 28 108 0 0 0 0
3 42 105 0 0 0 0
12 117 20 0 0 0 0
57 83 10 0 0 0 0
93 44 13 0 0 0 0
34 10 106 0 0 0 0
52 20 78 0 0 0 0
18 52 80 0 0 0 0
20 56 74 0 0 0 0
37 27 86 0 0 0 0
40 16 94 0 0 0 0
100 12 38 0 0 0 0
14 7 129 0 0 0 0
13 22 115 0 0 0 0
15 73 62 0 0 0 0
30 91 29 0 0 0 0
39 1 110 0 0 0 0
46 9 95 0 0 0 0
94 11 45 0 0 0 0
30 33 87 0 0 0 0
20 28 102 0 0 0 0
50 30 69 0 0 0 0
60 28 62 0 0 0 0
44 23 83 0 0 0 0
34 33 82 0 0 0 0
65 10 75 0 0 0 0
27 104 19 0 0 0 0
14 109 27 0 0 0 0
11 51 88 0 0 0 0
62 47 41 0 0 0 0
39 63 47 0 0 0 0
64 63 24 0 0 0 0
15 107 27 0 0 0 0
57 60 33 0 0 0 0
10 75 65 0 0 0 0
46 80 24 0 0 0 0
36 37 76 0 0 0 0
27 35 88 0 0 0 0
65 20 65 0 0 0 0
73 17 61 0 0 0 0
68 14 68 0 0 0 0
58 12 80 0 0 0 0
60 10 80 0 0 0 0
62 8 80 0 0 0 0
62 10 79 0 0 0 0
57 8 84 0 0 0 0
58 7 85 0 0 0 0
59 6 85 0 0 0 0
59 5 86 0 0 0 0
59 4 87 0 0 0 0
59 5 86 0 0 0 0
59 4 87 0 0 0 0
59 5 86 0 0 0 0
56 4 90 0 0 0 0
56 3 90 0 0 0 0
57 2 91 0 0 0 0
57 3 90 0 0 0 0
57 2 90 0 0 0 0
57 2 90 0 0 0 0
58 2 91 0 0 0 0
58 2 91 0 0 0 0
61 9 81 0 0 0 0
55 19 75 0 0 0 0
57 11 82 0 0 0 0
